Тест,Результат,Интерпретация
Версия формулы,4.1,Условия поиска работы с типичной для региона зарплатой
Периоды,пройдено,Вакансии 31.10.2024; рынок труда — 2024 год; зарплата и прожиточный минимум — 2025
Субъекты с рассчитанным индексом,84,из 84 строк регионального справочника
"Максимальная ошибка пересчёта доли вакансий, п.п.",0.005,"допуск 0,02 п.п."
Индексы вне шкалы 1–10,0,должно быть 0
"Максимальная абсолютная корреляция компонентов, Спирмен",0.321,"контроль двойного счёта; чем дальше от 1, тем лучше"
Согласование с официальным коэффициентом напряжённости,0.695,положительная конвергентная проверка Росстат/Роструд
Старая работодательская формула против напряжённости,-0.664,контроль смены экономического направления
Формула без длительности против среднего времени поиска,0.116,честная leave-one-component-out проверка
Связь с ростом зарплаты 2024,-0.269,"справочная, не критерий качества индекса соискателя"
Связь индекса с численностью населения,-0.312,контроль автоматического преимущества крупных регионов
Связь индекса с размером рабочей силы,-0.323,контроль масштабного смещения
Связь балла профгруппы с числом занятых,-0.003,крупные группы не должны получать балл только за размер
Проверка зарплатной привлекательности,1.0,должна монотонно расти вместе с абсолютным зарплатным запасом после регионального минимума
Структурные нули локального рынка,3,нулевой спрос в практически отсутствующей группе не получает ложный максимальный балл
Структурные нули с присвоенным баллом,0,должно быть 0
Оплаченные эквиваленты выше исходного числа вакансий,0,должно быть 0: высокая зарплата не размножает вакансии
Малые рынки со спросом без балла,0,должно быть 0: реально наблюдаемый спрос сохраняется
Москва: сложность трудоустройства,2.71,ожидаемо ниже среднего без ручной поправки
Республика Саха (Якутия): сложность трудоустройства,6.86,большая доля людей без работы или готовых работать и нехватка вакансий повышают балл
Медианный диапазон места региона в сценариях весов,9.0,"чем меньше, тем устойчивее место"
90-й процентиль диапазона места региона,16.0,показывает чувствительные регионы
Максимальный диапазон места региона,21.0,показывается пользователю рядом с баллом
Медианный диапазон места профгруппы,0.0,"сценарии весов и κ ×0,5/×2"
Максимальный диапазон места профгруппы,3.0,"сценарии весов и κ ×0,5/×2"
Месяцев в диагностическом Ridge-backtest,87,историческая проверка; дальний прогноз зарплаты Ridge больше не используется
"Диагностический Ridge MAPE, %",6.72,ошибка на последних 12 известных месяцах; не источник сценария 2027–2032
Диагностический Ridge alpha,0.14251,сохранён для аудита прежней модели
Участников макроэкономического опроса ЦБ,31,июль 2026; итог — медиана прогнозов экономистов
"Прогноз среднегодового ИПЦ на 2026–2029, %","6,0; 4,9; 4,1; 4,0",июльский макроэкономический опрос Банка России
"Прогноз роста номинальной зарплаты на 2026–2029, %","10,2; 8,0; 7,0; 6,5","не медианная зарплата, а рост номинальной зарплаты в среднем за год"
Временных точек профессионального спроса,1,"поэтому спрос 2027–2032 — стресс-сценарий вокруг структуры 31.10.2024, а не временная экстраполяция"
"Вес сценарного спроса в будущем ориентире, %",65,зарплатная привлекательность получает 35%; текущий индекс карты не меняется
